"id","close_date","price","close_price","zip"
159445,"2012-7-30",89900,89900,"30039-3342"
159446,"2012-4-20",122900,122900,30078
159447,"2012-6-14",39900,46500,"30078-4525"
159448,"2012-4-13",179900,178500,"30078-6850"
159449,"2012-3-23",26000,26000,"30039-4215"
159450,"2012-2-24",37900,34000,30087
159451,"2012-3-09",69900,52632,30039
159452,"2012-5-29",44900,50000,"30039-6626"
159453,"2012-3-16",35000,35100,"30039-7011"
159454,"2012-2-21",35200,37200,30039
159455,"2012-5-25",145000,148000,30052
159456,"2012-7-02",150000,140425,"30039-7319"
159457,"2012-5-03",179900,180001,30045
159458,"2012-1-26",45900,47900,"30087-4045"
159459,"2012-2-29",29900,28704,30039
159460,"2012-6-07",79900,77000,"30039-3350"
159461,"2012-3-28",134900,126900,"30039-6999"
159462,"2012-3-05",50000,55000,30045
159463,"2012-4-05",96900,117000,"30078-4172"
159464,"2012-4-12",35900,32000,"30087-3607"
159465,"2012-4-11",94900,95000,30046
159466,"2012-4-04",74900,82900,30078
159467,"2012-3-29",79500,79000,"30052-2504"
159468,"2012-6-22",52900,51000,"30039-4815"
159469,"2012-4-06",95000,95000,30039
159470,"2012-5-04",69900,69900,"30052-5104"
159471,"2012-7-13",99000,99000,30039
159472,"2012-3-22",67900,62000,"30052-8827"
159473,"2012-2-21",64900,59000,30087
159474,"2012-3-14",28500,35850,"30078-3627"
159475,"2012-6-13",90000,78740,"30039-0000"
159476,"2012-6-19",66000,66000,"30039-3347"
159477,"2012-3-19",35000,32500,"30039-4821"
159478,"2012-3-21",40000,41000,"30078-4101"
159479,"2012-5-10",95000,95000,30045
159480,"2012-4-18",80000,78000,"30039-5277"
159481,"2012-4-18",85000,76865,"30087-4271"
159482,"2012-8-15",89000,74000,"30039-6907"
159483,"2012-3-30",114900,120000,"30052-8270"
159484,"2012-5-15",115000,107000,"30017-1104"
159485,"2012-4-30",49500,49000,"30039-4437"
159486,"2012-3-15",37400,45000,30039
159487,"2012-8-17",69900,67500,30078
159488,"2012-3-15",44900,46000,"30087-4239"
159489,"2012-6-19",89900,89900,"30052-5444"
159490,"2012-5-09",143585,143585,30039
159491,"2012-3-07",38000,48000,"30039-7361"
159492,"2012-3-30",50000,50000,30078
159493,"2012-4-23",34900,32500,"30078-2421"
159494,"2012-3-16",59900,59000,"30017-1717"
159495,"2012-8-07",149900,120000,30047
159496,"2012-3-29",39900,34900,"30087-3908"
159497,"2012-4-05",152900,160500,30045
159498,"2012-6-13",96500,91000,30039
159499,"2012-6-14",95000,95000,"30039-7126"
159500,"2012-3-19",31900,36000,30087
159501,"2012-5-04",46000,42000,30039
159502,"2012-6-29",109000,109000,30078
159503,"2012-3-14",69900,70000,"30078-6636"
159504,"2012-4-30",89800,95000,"30047-5780"
159505,"2012-4-05",124900,124000,"30039-2730"
159506,"2012-7-26",175000,166000,30017
159507,"2012-3-22",179900,220000,30045
159508,"2012-4-20",79900,79000,"30039-6240"
159509,"2012-3-30",57000,50000,"30039-4203"
159510,"2012-7-31",100000,95000,"30087-3634"
159511,"2012-3-28",105000,115000,"30039-6326"
159512,"2012-3-09",179900,165000,"30039-5694"
159513,"2012-4-26",55900,50000,"30039-4345"
159514,"2012-5-30",120000,110000,"30078-2513"
159515,"2012-2-17",100000,90000,"30078-6101"
159516,"2012-4-18",139900,117500,"30052-8200"
159517,"2012-4-18",138000,138000,"30052-6222"
159518,"2012-6-19",46400,50300,"30039-7389"
159519,"2012-3-30",89000,89000,30017
159520,"2012-5-14",39900,43000,"30039-4089"
159521,"2012-5-23",179000,179000,"30039-1102"
159522,"2012-6-28",66000,68500,"30039-2786"
159523,"2012-6-01",66000,66000,"30039-2771"
159524,"2012-4-13",106000,115000,"30052-8153"
159525,"2012-3-21",84900,80000,"30087-3751"
159526,"2012-6-21",94900,90000,"30017-2863"
159527,"2012-4-04",44900,50025,"30039-4665"
159528,"2012-3-28",31900,41000,30039
159529,"2012-5-30",53900,60000,30039
159530,"2012-6-12",47000,52500,"30017-1187"
159531,"2012-5-15",69900,73000,"30078-6420"
159532,"2012-6-28",69500,72500,30078
159533,"2012-7-05",53000,52000,30039
159534,"2012-4-04",34100,38100,30078
159535,"2012-3-15",39900,40000,30078
159536,"2012-5-29",121000,123000,"30052-7902"
159537,"2012-5-11",144000,144000,"30039-6325"
159538,"2012-7-31",49900,56000,30017
159539,"2012-5-03",67900,68500,30044
159540,"2012-3-29",74900,69000,"30039-4731"
159541,"2012-4-30",140000,138600,30078
159542,"2012-4-20",74900,68500,"30017-4201"
159543,"2012-5-11",102900,102900,30052
159544,"2012-5-11",80000,80000,30052
159545,"2012-4-25",34900,28400,"30087-4037"
159546,"2012-3-30",40000,43000,"30039-7963"
159547,"2012-4-10",161600,161600,"30518-4901"
159548,"2012-7-25",91800,75001,"30052-8843"
159549,"2012-3-22",24900,23100,30039
159550,"2012-4-23",27000,30000,"30039-6676"
159551,"2012-4-27",101000,99000,30052
159552,"2012-5-21",39900,35000,"30039-4607"
159553,"2012-3-26",47000,43000,"30039-6235"
159554,"2012-7-11",40000,43500,30078
159555,"2012-4-16",50600,49000,30078
159556,"2012-4-06",39000,42000,"30039-6212"
159557,"2012-5-04",129900,129900,30087
159558,"2012-5-22",108000,82800,"30039-8504"
159559,"2012-6-28",59500,55100,"30039-7950"
159560,"2012-6-08",77000,76000,"30039-4600"
159561,"2012-4-30",29900,41209,"30039-6651"
159562,"2012-6-05",158000,147000,"30039-6265"
159563,"2012-4-24",90900,90900,"30078-3483"
159564,"2012-3-29",139900,139900,"30045-9712"
159565,"2012-5-04",59900,58000,"30039-6313"
159566,"2012-5-04",150000,145000,"30045-6369"
159567,"2012-5-11",45000,39900,"30039-8022"
159568,"2012-4-04",38000,41500,"30046-6115"
159569,"2012-7-11",119900,119900,"30052-5169"
159570,"2012-4-18",59900,53000,30078
159571,"2012-4-26",39900,30000,30039
